id,ref_type,start_offset,end_offset,duration
46,mux,78673,101945,23272
46,trans,115891,218291,102400
46,trans,-472,18145,18617
46,trans,22800,74000,51200
46,trans,78655,101945,23290
47,mux,253927,267891,13964
47,mux,2855,12164,9309
47,mux,49127,114291,65164
47,mux,230655,249273,18618
47,mux,118945,202727,83782
47,mux,207382,226000,18618
47,mux,277200,300473,23273
47,mux,11891,44473,32582
47,trans,118945,128255,9310
47,trans,253927,267891,13964
47,trans,230655,249273,18618
47,trans,49127,114291,65164
47,trans,132909,202727,69818
47,trans,2582,44473,41891
47,trans,277200,300473,23273
47,trans,207382,226000,18618
48,mux,15473,62018,46545
48,mux,299400,364564,65164
48,mux,66673,290091,223418
48,trans,299382,364564,65182
48,trans,10800,62000,51200
48,trans,66673,290073,223400
49,trans,200,56055,55855
49,trans,335327,372564,37237
49,trans,60709,326018,265309
49,mux,14164,56055,41891
49,mux,335345,372564,37219
49,mux,60709,326018,265309
49,mux,564,9891,9327
50,mux,636,14582,13946
50,mux,116655,135291,18636
50,mux,56164,70109,13945
50,mux,14255,42200,27945
50,mux,321473,344727,23254
50,mux,144582,288891,144309
50,mux,102709,112018,9309
50,mux,298200,316800,18600
50,trans,56164,70127,13963
50,trans,116673,135291,18618
50,trans,309,42200,41891
50,trans,102709,112018,9309
50,trans,321473,344745,23272
50,trans,144600,288891,144291
50,trans,298200,316818,18618
51,mux,64182,78145,13963
51,mux,-835,54873,55708
51,trans,64182,78145,13963
51,trans,-981,54873,55854
52,mux,201145,224418,23273
52,mux,1145,122018,120873
52,mux,229073,298891,69818
52,mux,126673,196491,69818
52,trans,261673,298891,37218
52,trans,1000,122018,121018
52,trans,201145,224418,23273
52,trans,126691,196509,69818
52,trans,229091,257018,27927
53,mux,162455,204345,41890
53,mux,-381,32127,32508
53,mux,241582,311400,69818
53,mux,60055,129873,69818
53,mux,134527,157800,23273
53,mux,213655,236927,23272
53,mux,325345,357945,32600
53,mux,46091,50745,4654
53,trans,-472,32127,32599
53,trans,162436,204327,41891
53,trans,241564,316036,74472
53,trans,60036,129855,69819
53,trans,134509,157782,23273
53,trans,325345,357927,32582
53,trans,208982,236909,27927
53,trans,46073,50727,4654
54,mux,255364,278636,23272
54,mux,27291,185545,158254
54,mux,199509,204164,4655
54,mux,13327,22636,9309
54,mux,-381,8927,9308
54,mux,208818,227436,18618
54,mux,283291,287945,4654
54,mux,236745,250691,13946
54,trans,255345,278618,23273
54,trans,27273,190182,162909
54,trans,199491,204145,4654
54,trans,208800,222764,13964
54,trans,13327,22636,9309
