id,ref_type,start_offset,end_offset,avg_ber,duration,,,,
126,mux,-508,13455,0.220052333,13963,,,,
126,trans,-799,50400,0.211824593,51199,,,,
127,mux,7364,44564,0.144163405,37200,,,,
127,trans,7327,44564,0.127014005,37237,,,,
128,mux,218,14182,0.081380333,13964,,,,
128,mux,13891,46473,0.144532264,32582,,,,
128,trans,-72,46473,0.14345888,46545,,,,
129,mux,-254,13709,0.129557333,13963,,,,
129,mux,13400,32036,0.241822765,18636,,,,
129,trans,-544,22727,0.155470326,23271,,,,
129,trans,27382,32036,0.289062,4654,,,,
130,mux,-890,59618,0.158653539,60508,,,,
130,trans,-872,59618,0.17251324,60490,,,,
133,mux,6182,20000,0.313802333,13818,,,,
133,trans,10691,20000,0.251709,9309,,,,
135,mux,43055,57018,0.186523667,13963,,,,
135,mux,1418,15364,0.273600333,13946,,,,
135,mux,19782,33764,0.275230196,13982,,,,
135,trans,43073,57036,0.188476333,13963,,,,
135,trans,5836,15145,0.2038575,9309,,,,
135,trans,19800,33764,0.267743646,13964,,,,
136,mux,33891,43200,0.176758,9309,,,,
136,mux,6200,10855,0.26416,4655,,,,
136,mux,15273,24582,0.284668,9309,,,,
136,trans,33891,43200,0.1899415,9309,,,,
136,trans,5945,10600,0.257812,4655,,,,
136,trans,15255,24582,0.2836915,9327,,,,
137,mux,636,9945,0.2456055,9309,,,,
137,trans,436,9745,0.2590335,9309,,,,
138,mux,-1526,12436,0.171386667,13962,,,,
138,mux,16709,39982,0.196483032,23273,,,,
138,trans,-1908,39982,0.179579628,41890,,,,
139,mux,1709,29545,0.232826214,27836,,,,
139,trans,1600,29545,0.232989457,27945,,,,
140,mux,-1144,12818,0.167643333,13962,,,,
140,mux,12527,17182,0.235352,4655,,,,
140,trans,-1417,17200,0.141356957,18617,,,,
141,mux,-999,26818,0.257243652,27817,,,,
141,mux,31473,40782,0.26001,9309,,,,
141,trans,-1108,26818,0.25179059,27926,,,,
141,trans,31473,40782,0.265625,9309,,,,
142,mux,1018,33455,0.140905931,32437,,,,
142,trans,873,33455,0.123955737,32582,,,,
145,mux,50091,54745,0.267578,4654,,,,
145,mux,31473,45436,0.294759705,13963,,,,
145,trans,50091,54745,0.268066,4654,,,,
145,trans,31473,45436,0.282716748,13963,,,,
146,mux,1200,15164,0.159668,13964,,,,
146,mux,24073,61309,0.163576325,37236,,,,
146,mux,14764,19418,0.283203,4654,,,,
146,trans,818,14782,0.158528667,13964,,,,
146,trans,24091,61309,0.174134788,37218,,,,
148,mux,4109,18000,0.280273333,13891,,,,
148,trans,4055,18018,0.266927,13963,,,,
149,mux,-1435,26364,0.121254667,27799,,,,
149,trans,-1563,26364,0.112465528,27927,,,,
151,mux,1618,52618,0.238905503,51000,,,,
151,trans,1418,52618,0.217023193,51200,,,,
152,mux,-544,36618,0.209107622,37162,,,,
152,mux,45909,55236,0.2387695,9327,,,,
